source_id,corpus,folder_name,material_type,clean_source_path,clean_match_confidence,duplicate_group,report_file_count,report_characters,report_lines,review_status,evidence_level,notes
B0458,book,Witold Rybczynski：《Home A Short History of an Idea》，1986,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Witold Rybczynski：《Home A Short History of an Idea》，1986_clean.md,1.0,,18,87790,1938,machine_read_complete,V2,
B0459,book,Wixon：《Field methods casebook for software design》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Wixon：《Field methods casebook for software design》.md,1.0,,25,138204,3112,machine_read_complete,V2,
B0460,book,"Wolfgang F. E. Preiser, Elaine Ostroff：《Universal Design Handbook》，2001",book_or_book_length_source,"D:\Design-history-知识库\00-book_clean\Wolfgang F. E. Preiser, Elaine Ostroff：《Universal Design Handbook》，2001_clean.md",1.0,,77,150221,4200,machine_read_complete,V2,
B0461,book,World History Of Design - Volume 2_ World War I To World War -- Victor Margolin,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\World History Of Design - Volume 2_ World War I To World War -- Victor Margolin.md,1.0,,26,175117,2593,machine_read_complete,V2,
B0462,book,Wozencroft：《The graphic language of Neville Brody》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Wozencroft：《The graphic language of Neville Brody》.md,1.0,,16,95889,2093,machine_read_complete,V2,
B0463,book,Zeynep Çelik：《Displaying the Orient Architecture of Islam at Nineteenth-Century Worlds Fairs》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Zeynep Çelik：《Displaying the Orient Architecture of Islam at Nineteenth-Century Worlds Fairs》_clean.md,1.0,,13,85880,2017,machine_read_complete,V2,
B0464,book,Éva Forgács：《The Bauhaus Idea and Bauhaus Politics》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Éva Forgács：《The Bauhaus Idea and Bauhaus Politics》.md,1.0,,24,126997,3176,machine_read_complete,V2,
B0465,book,万长林：《香港平面设计史》，2012,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\万长林：《香港平面设计史》，2012_clean.md,1.0,,16,75439,1858,machine_read_complete,V2,
B0466,book,世界设计史_I_史前至一战,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\世界设计史_I_史前至一战_clean.md,1.0,,27,102920,1773,machine_read_complete,V2,
B0467,book,世界设计史_II_苏联至二战,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\世界设计史_II_苏联至二战_clean.md,1.0,,26,89019,2198,machine_read_complete,V2,
B0468,book,何人可：《工业设计史(第四版)》，2010,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\何人可：《工业设计史(第四版)》，2010_clean.md,1.0,,20,71602,2129,machine_read_complete,V2,
B0469,book,刘小羊：《中国平面设计史论稿》，2016,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\刘小羊：《中国平面设计史论稿》，2016_clean.md,1.0,,15,65976,2001,machine_read_complete,V2,
B0470,book,"史蒂文·海勒, 西摩·切瓦斯特：《平面设计200年》，2018",book_or_book_length_source,"D:\Design-history-知识库\00-book_clean\史蒂文·海勒, 西摩·切瓦斯特：《平面设计200年》，2018_clean.md",1.0,,34,99663,2354,machine_read_complete,V2,
B0471,book,周博：《中国现代文字设计图史》，2017,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\周博：《中国现代文字设计图史》，2017.md,1.0,,24,77583,2087,machine_read_complete,V2,
B0472,book,周博：《断裂与绵延：中国现代设计史研究》，2019,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\周博：《断裂与绵延：中国现代设计史研究》，2019_clean.md,1.0,,20,74408,1842,machine_read_complete,V2,
B0473,book,周博：《现代设计伦理思想史》，2014,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\周博：《现代设计伦理思想史》，2014_clean.md,1.0,,14,76363,2024,machine_read_complete,V2,
B0474,book,周陟：《UI进化论：移动设备人机交互界面设计》，2010,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\周陟：《UI进化论：移动设备人机交互界面设计》，2010_clean.md,1.0,,21,84941,2106,machine_read_complete,V2,
B0475,book,唐內拉·梅多斯：《系统之美：决策者的系统思考》，2012,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\唐內拉·梅多斯：《系统之美：决策者的系统思考》，2012_clean.md,1.0,,15,64440,2074,machine_read_complete,V2,
